序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,yf_code
3341,002599,盛通股份,7.11,0.28,0.02,72323.0,51278930.04,1.97,7.17,7.03,7.16,7.09,0.82,1.82,327.47,3.06,3787353286.0,2829827893.0,0.0,-0.14,-18.28,-16.74,002599.SZ
3342,000925,众合科技,7.18,0.28,0.02,93969.0,67281119.8,2.23,7.25,7.09,7.21,7.16,0.9,1.4,-78.81,1.47,4856335580.0,4833894131.0,0.14,0.0,-22.13,-20.04,000925.SZ
3344,002724,海洋王,7.04,0.28,0.02,52136.0,36571373.2,1.42,7.06,6.96,7.04,7.02,0.86,0.92,74.34,2.0,5431345878.0,3997224451.0,0.14,0.14,1.15,3.83,002724.SZ
3346,603218,日月股份,14.08,0.28,0.04,76518.0,107139694.0,1.92,14.19,13.92,14.15,14.04,0.73,0.74,25.05,1.42,14507204800.0,14474750400.0,-0.07,0.14,3.15,6.26,603218.SS
3348,688468,科美诊断,7.22,0.28,0.02,28057.0,20143030.0,2.64,7.29,7.1,7.26,7.2,0.96,0.7,65.21,2.05,2895999760.0,2895999760.0,0.14,0.14,-8.03,-1.63,688468.SS
3349,603020,爱普股份,11.18,0.27,0.03,28365.0,31729513.0,1.97,11.32,11.1,11.32,11.15,0.57,0.74,28.66,1.3,4284598313.0,4284598313.0,0.0,0.09,7.81,10.26,603020.SS
3351,605158,华达新材,7.51,0.27,0.02,28751.0,21556423.0,2.14,7.6,7.44,7.52,7.49,1.1,0.56,42.89,1.55,3840764200.0,3840764200.0,-0.13,0.13,-7.63,-6.59,605158.SS
3352,600088,中视传媒,14.78,0.27,0.04,22962.0,33837190.0,1.49,14.87,14.65,14.81,14.74,0.65,0.58,-413.8,4.66,5878100592.0,5878100592.0,0.07,0.14,-12.54,-8.65,600088.SS
3353,600560,金自天正,14.73,0.27,0.04,18180.0,26635360.0,1.97,14.84,14.55,14.79,14.69,0.68,0.81,63.84,3.36,3294298215.0,3294298215.0,0.07,0.0,-13.61,-9.85,600560.SS
3355,002691,冀凯股份,7.42,0.27,0.02,37691.0,27770900.0,2.43,7.48,7.3,7.47,7.4,0.82,1.12,-41.27,2.97,2522800000.0,2492973863.0,-0.13,0.13,-17.09,-18.01,002691.SZ
3360,600422,昆药集团,11.15,0.27,0.03,56087.0,62249112.0,0.99,11.18,11.07,11.14,11.12,0.77,0.74,24.12,1.57,8440279691.0,8440279691.0,0.0,0.18,-13.57,-11.23,600422.SS
3363,000756,新华制药,14.67,0.27,0.04,55739.0,81214503.68,1.5,14.69,14.47,14.66,14.63,0.84,1.12,35.26,1.94,10220345991.0,7318852892.0,0.07,0.14,-8.83,-4.8,000756.SZ
3372,600189,泉阳泉,7.74,0.26,0.02,110223.0,84688501.0,1.94,7.75,7.6,7.69,7.72,0.96,1.54,367.11,4.51,5535631065.0,5535631065.0,-0.13,0.13,9.79,12.01,600189.SS
3376,000936,华西股份,7.58,0.26,0.02,125775.0,94931946.42,1.72,7.62,7.49,7.58,7.56,0.85,1.42,15.29,1.25,6715977683.0,6715026014.0,0.0,0.0,-16.15,-7.9,000936.SZ
3377,603848,好太太,15.38,0.26,0.04,19082.0,29249286.0,2.67,15.6,15.19,15.6,15.34,1.25,0.47,32.41,2.47,6189012139.0,6189012139.0,0.0,0.07,-18.02,-15.82,603848.SS
3378,001289,龙源电力,15.41,0.26,0.04,85421.0,131131069.29,1.63,15.5,15.25,15.41,15.37,0.75,0.17,28.46,1.72,128824767087.0,77696205467.0,0.0,0.06,-0.26,2.46,001289.SZ
3379,003035,南网能源,7.65,0.26,0.02,553410.0,421850835.74,3.15,7.79,7.55,7.69,7.63,1.02,1.46,83.63,4.17,28977272721.0,28977272721.0,0.0,0.0,61.05,67.03,003035.SZ
